ndcg@1,Gowalla,Yelp2018,Amazon-Book,NYC2014,TKY2014
NGCF-3,0.17004,-,0.01748,0.00462,0.00392
HOP-Rec,0.12318,-,0.00597,0.00369,0.00349
MF with BPR,0.14103,-,0.00562,0.00369,0.00741
,,,,,
ndcg@5,Gowalla,Yelp2018,Amazon-Book,NYC2014,TKY2014
NGCF-3,0.19087,-,0.03351,0.01090,0.00755
HOP-Rec,0.08045,-,0.00558,0.00509,0.00654
MF with BPR),0.09192,-,0.00552,0.00528,0.00729
,,,,,
ndcg@10,Gowalla,Yelp2018,Amazon-Book,NYC2014,TKY2014
NGCF-3,0.22418,-,0.04789,0.01608,0.01141
HOP-Rec,0.08074,-,0.00613,0.00519,0.00720
MF with BPR,0.09150,-,-,0.00562,0.00745
,,,,,
ndcg@20,Gowalla,Yelp2018,Amazon-Book,NYC2014,TKY2014
NGCF-3,0.26249,-,0.06817,0.02121,0.01739
HOP-Rec,0.08847,-,0.00803,0.00525, 0.00730
MF with BPR,0.09899,-,0.00780,0.00560,0.00713
,,,,,
ndcg@40,Gowalla,Yelp2018,Amazon-Book,NYC2014,TKY2014
NGCF-3,0.30709,-,0.09668,0.03256,0.02759
HOP-Rec,0.10010,-,0.01092,0.00592,0.00798
MF with BPR,0.11132,-,0.01104,0.00593,0.00766