recall@1,Gowalla,Yelp2018,Amazon-Book,NYC2014,TKY2014
NGCF-3,0.02827,-,0.00219,0.00007,0.00005
HOP-Rec,0.01976,-,0.00065,9.44720,6.42914
MF with BPR,0.02319,-,0.00062,0.00013,0.00014
,,,,,
recall@5,Gowalla,Yelp2018,Amazon-Book,NYC2014,TKY2014
NGCF-3,0.07159,-,0.00900,0.00041,0.00028
HOP-Rec,0.04852,-,0.00290,0.00079,0.00093
MF with BPR,0.05677,-,0.00294,0.00069,0.00095
,,,,,
recall@10,Gowalla,Yelp2018,Amazon-Book,NYC2014,TKY2014
NGCF-3,0.10198,-,0.01615,0.00076,0.00066
HOP-Rec,0.07142,-,0.00529, 0.00148,0.00207
MF with BPR,0.08064,-,-,0.00148,0.00184
,,,,,
recall@20,Gowalla,Yelp2018,Amazon-Book,NYC2014,TKY2014
NGCF-3,0.14402,-,0.02864,0.00120,0.00132
HOP-Rec,0.10133,-,0.01009,0.00260,0.00399
MF with BPR,0.11094,-,0.00971,0.00292,0.00339
,,,,,
recall@40,Gowalla,Yelp2018,Amazon-Book,NYC2014,TKY2014
NGCF-3,0.20288,-,0.04957,0.00226,0.00247
HOP-Rec,0.13955,-,0.01768,0.00553,0.00726
MF with BPR,0.15134,-,0.01815,0.00527,0.00660